DISTRITO;TIPO_DE_DENUNCIA;SITUACION_DENUNCIA;TIPO;SUBTIPO;MODALIDAD;FECHA_HECHO;DIASEM_HECHO;MES_HECHO;PERIODO_HECHO;HORA_HECHO;DESCRIPCION;EDAD_PERSONA;SEXO;ESTADO_CIVIL;GRADO_INSTRUCCION;OCUPACION;PAIS_NATAL;LONGITUD;LATITUD
VENTANILLA;ACTA DE INTERVENCION;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA FISICA;19/02/2024;2;2;2024;3;VENTANILLA;52;MASCULINO;DIVORCIADO(A);NO INDICA;MEDICO;PERU;-77.11475829;-11.87558309
VENTANILLA;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA PSICOLOGICA;20/02/2024;3;2;2024;13;VENTANILLA;65;FEMENINO;SOLTERO(A);SUPERIOR;DOCENTE;PERU;-77.10613129;-11.87475279
CALLAO;OCURRENCIA;RESUELTA;PATRIMONIO (DELITO);USURPACION;USURPACION;03/02/2024;7;2;2024;13;CIUDAD DEL PESCADOR;44;MASCULINO;CASADO(A);NO INDICA;NO INDICA;PERU;-77.10383890;-12.05982030
CALLAO;ACTA DE INTERVENCION;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA FISICA;10/02/2024;7;2;2024;12;CALLAO;32;MASCULINO;SOLTERO(A);NO INDICA;RECICLADOR;PERU;-77.12598430;-12.05084910
CALLAO;ACTA DE INTERVENCION;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA FISICA;12/02/2024;2;2;2024;20;JUAN INGUNZA VALDIVIA;37;FEMENINO;CASADO(A);NO INDICA;NO INDICA;PERU;-77.10707390;-12.00171680
BELLAVISTA;ACTA DE INTERVENCION;RESUELTA;LIBERTAD (DELITO);VIOLACION DE LA LIBERTAD SEXUAL;ACTOS CONTRA EL PUDOR DE MENORES;08/02/2024;5;2;2024;20;BELLAVISTA;66;MASCULINO;SOLTERO(A);SECUNDARIA;NO INDICA;PERU;-77.12791120;-12.06462730
CALLAO;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA PSICOLOGICA;15/02/2024;5;2;2024;4;MARQUEZ;33;FEMENINO;SOLTERO(A);NO INDICA;INDEPENDIENTE;PERU;-77.13130322;-11.93815166
CALLAO;DENUNCIA;PENDIENTE;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA FISICA;29/01/2024;2;1;2024;10;CALLAO;32;MASCULINO;SOLTERO(A);NO INDICA;CHOFER;PERU;-77.11519438;-12.02624201
CALLAO;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA PSICOLOGICA;22/02/2024;5;2;2024;18;CALLAO;34;MASCULINO;SOLTERO(A);NO INDICA;DESEMPLEADO;PERU;-77.13664070;-12.06534290
BELLAVISTA;ACTA DE INTERVENCION;RESUELTA;LIBERTAD (DELITO);VIOLACION DE LA LIBERTAD SEXUAL;ACOSO SEXUAL;12/02/2024;2;2;2024;21;BELLAVISTA;26;FEMENINO;SOLTERO(A);SECUNDARIA;NO INDICA;PERU;-77.10456517;-12.05847329
